accommodationId,hostId,name,description,listingUrl,neighborhoodOverview,accommodates,location,bathrooms,bathroomsText,bedrooms,beds,instantBookable,reviewsPerMonth,latitude,longitude,propertyTypeId,roomTypeId,lastUpdated
18349413,55002336,Cozy modern cottage near the city centre,"Lovely cottage close to the city centre. 10 mins to city centre by bus with closest bus stop 3min walk from house. LUAS (tram) is a 10min walk from the house. 40 min walk to city centre.<br />Free parking. Two bedrooms. One with double bed & second room with a daybed that can be pulled out to be a double bed. <br />Dogs live here but will not be present during stay, just to note in case anyone has strong allergies. <br />There is a lovely back garden with furniture & fire pit.<br />Real open fire in living room.<br /><br /><b>The space</b><br />The whole house will be available to you except for my own private bedroom. You will have access to the back garden as well & are welcome to use the kitchen.<br /><br /><b>Guest access</b><br />Parking to the side of the house without obstructing neighbours access. Back garden, front garden. Inside the house the only room that is not accessible is my own private bedroom.<br /><br /><b>Other things to note</b><br />The house does have dogs living",https://www.airbnb.com/rooms/18349413,"My house is very close to the city centre, it only takes 10mins by bus but is in a quiet residential area so you can get a good nights sleep after exploring the city . It is also about 20min walk to Kilmainham where there is a museum of modern art & the famous Kilmainham jail. The Luas which is a 10min walk from the house takes you into the city centre, Heuston Train Station, Connelly Station, The Red Cow among many other useful stops.",4,Dublin,,1 bath,2,2,false,0.10,53.3268,-6.31343,2,2,2020-10-17
43920125,76265474,Self-contained ensuite bedroom with private access,"Self contained en-suite bedroom with private entrance & parking. Newly refurbished so first letting (November 2020). King size bed with TV & WiFi included. Cosy electric heating & large shower. Continental breakfast provided. No cooking facilities available, however fridge in room. <br />Located just off the Drimnagh Road beside main bus routes into the city. 10 mins walk to Our Lady's Hospital (Crumlin Children's Hospital). Maybe suit healthcare staff working night shifts. Very quiet location.",https://www.airbnb.com/rooms/45718304,,2,Dublin,,1 private bath,1,1,false,,53.32201,-6.32556,3,3,2020-10-21
30504069,47699545,Cosy apartment in Chapelizod,"My place is very cosy and has very comfortable queen size bed. I also have a sofa bed in the living room, which is very comfortable for another two people two sleep on. Right outside the house is a bus stop which brings you to the town within 15 mins. It is 5 mins to Phoenix Park, Zoo and 15 minutes walk to the War Memorial Gardens. There are shops right around the corner so you can get whatever you might need. Across the road are two local pubs and a few restaurants where locals usually go.<br /><br /><b>The space</b><br />My apartment is a one bedroom apartment with separate bathroom and living space, which has a very comfortable sofa bed for other two people.",https://www.airbnb.com/rooms/30504069,"The apartment is 15 mins bus ride to town in charming Chapelizod. It is a quite area of Dublin, family friendly... You can easily get to parks, Guinness Factory and other attraction of Dublin.",4,Dublin,,1 bath,1,2,true,0.34,53.34808,-6.34363,4,3,2020-10-21
33955620,256401156,Wonderful double room in Ireland,Light and colourful room in Dublin 12,https://www.airbnb.com/rooms/33955620,,2,Dublin,,1 bath,1,1,false,,53.32035,-6.33413,5,3,2020-10-21
16992991,97874998,Double bedroom in cosy Dublin house,"You will love our cosy double bedroom in our warm and welcoming home! All modern fittings and clean shared bathroom will make your stay very comfortable! Our kitchen is new and fitted with all appliances, with adjoining dining and living room for your enjoyment. We are in an excellent location 15/20mins from the heart of Dublin City. 5mins drive to M50. Kilmainham Goal and IMMA are within 10min stroll, the Phoenix Park, National Museum, Guinness Storehouse and Heuston Station are within 10mins by tram! Perfect for your city break!<br /><br /><b>Guest access</b><br />Free Parking<br />Wifi<br />Kitchen",https://www.airbnb.com/rooms/16992991,Quaint suburb resting on the banks of the canal! Walking distance to historical sites and beautiful parklands! So close to the heart of the city and linked to surrounding attractions of Dublin by the m50!,2,Dublin,,1 bath,1,1,false,0.14,53.33577,-6.33045,6,3,2020-10-21
6850630,32676144,"Large period house, double ensuite, 15mins to city","We are not taking guests until this Covid19 thing settles down.  Hoping to host again towards the start of September<br /><br />Our Master guest bedroom has a private ensuite with rain shower, timber floors, large wardrobe and a lovely double sleigh bed plus views of the front garden and streetscape.  We believe our home is pretty unique property which we restored over the past 15 years to a very high standard and we enjoy hosting as a hobby.<br /><br /><b>The space</b><br />On arrival you can expect conversation, coffee a glass of wine.<br /><br />Throughout your stay you are welcome to enjoy our Nespresso coffee or the selection of French tea's plus to kickstart your first morning with us we will provide a complementary continental breakfast.   <br /><br />Depending on circumstances we sometimes offer a second room  which is a double room again ensuite (check with you about availability).<br /><br />Guests have full access to the house including the kitchen, living room, gardens etc",https://www.airbnb.com/rooms/6850630,,2,Dublin,,1 private bath,1,1,false,0.56,53.33781,-6.3228,6,3,2020-10-20
45653419,77066693,Cosy flat nestled in the trees.,"Our home is situated on the edge of Chapelizod, one of the oldest villages in Dublin and just 7km from Dublin city centre. <br />The Phoenix Park and River Liffey are just two of our local amenities. Our large garden has plenty of space for parking but we also have a great bus service within 5 minutes walk. We are looking for longer term guests for 4 to 6 months. Rent is €1200 per month plus Airbnb fees.",https://www.airbnb.com/rooms/45653419,,2,Dublin,,1 bath,1,1,true,,53.34617,-6.34791,7,3,2020-10-20
374792,790601,"'Grace Gifford' cottage, Kilmainham","One of four apartments in ""Tigh Tirconaill"", that we have named after Irish nationalist leaders to reflect our location in the historic Kilmainham/Inchicore area. Our Grace Gifford cottage comfortably sleeps 4 with a double bed in the bedroom and a double sofa bed in the living room.<br /><br /><b>The space</b><br />One of three apartments in ""Tigh Tirconaill"", The ""Grace Gifford"" cottage is cozy, warm and quiet.  The bedroom has a double bed with the bathroom ensuite. The living room has  comfortable leather furniture with a pull out sofa bed for extra sleeping accommodation. <br /><br />There is a nice dining area overlooking the patio and a compact kitchen. The bedroom has one double bed and also a fold up single bed which is suitable for a child. Nice spacious bathroom with walk in power shower. Situated to the rear of the property overlooking the patio, you will be cosy and comfortable staying in the ""Grace Gifford"" cottage.<br /><br />Location:  <br /><br />Close to Kilmainham Ga",https://www.airbnb.com/rooms/374792,"Conveniently situated close to 'The Dubline' Dublin Discovery Trail, featuring Kilmainham Gaol and Courthouse and The Royal Hospital Kilmainham, Ireland's oldest public building dating back to 1684. We are just a short walk to the War Memorial Gardens. Our apartments have been restored with great care and attention to detail, retaining the original Victorian features providing classic, comfortable and select accommodation in Dublin. Our apartments are upmarket with attention to detail and our guest comfort our priority. Easy access to all the top restaurants, pubs, museums and attractions that Dublin has to offer. For those who prefer a quicker route than the Dubline trail, the bus stop is almost outside the door with route 13 serving Guinness Storehouse, Christchurch Cathedral, Dublin Castle, Temple Bar, Trinity College and O'Connell St.<br />A 5 minute walk to the Luas red line,travelling via The Museum at Collins Barracks, The Jameson Distillery, Jervis St., Dublin Convention Centre",4,Dublin,,1 bath,1,3,false,0.28,53.33744,-6.32363,7,3,2020-10-20
13620699,78889552,1 bedroom Apt. with full facilities. Close to City,"My place is close to parks. You’ll love my place because of Quiet area but still just 5k from Dublin city., the comfy bed, the neighbourhood, the kitchen, the cosiness. My place is good for solo adventurers, business travellers, I share my home with a cat.",https://www.airbnb.com/rooms/13620699,,2,Dublin,,1 bath,1,1,false,0.06,53.3446,-6.34068,7,3,2020-10-21
16263733,42059994,Double bedroom next to Phoenix park,"Comfortable and cosy double bedroom, situated in a quite 3 bedroom house next to Phoenix park. One couple is living in the house. Bus station is 50 m from the house, 10 min drive to city center (3 lines operates). It is close to Kilmainham Jail, Museum of Modern art, Memorial Gardens and Phoenix park.",https://www.airbnb.com/rooms/16263733,,2,Dublin,,1 bath,1,1,false,,53.34375,-6.3308,7,3,2020-10-17
