accommodationRatingId,accommodationId,rating,ratingAccuracy,cleanliness,checkin,communication,location,value
1,18349413,73,8,7,9,10,9,7
2,45718304,0,0,0,0,0,0,0
3,30504069,87,9,9,10,10,9,9
4,33955620,0,0,0,0,0,0,0
5,16992991,100,10,10,10,10,10,9
6,6850630,100,10,10,10,10,10,10
7,45653419,0,0,0,0,0,0,0
8,374792,89,9,9,10,10,9,9
9,13620699,73,9,6,9,9,7,8
10,16263733,0,0,0,0,0,0,0
11,23769172,100,10,10,10,10,10,9
12,12733225,0,0,0,0,0,0,0
13,14624814,90,9,9,10,10,10,9
14,3581384,96,10,10,10,10,9,9
15,23325066,0,0,0,0,0,0,0
16,4307233,100,9,10,10,10,9,10
17,19028229,100,10,9,10,10,9,10
18,13759419,97,10,10,10,10,9,10
19,16842803,0,0,0,0,0,0,0
20,14541302,100,10,10,10,10,10,10
21,9969686,96,10,10,10,10,9,10
22,18044248,99,10,9,10,10,9,9
23,20780307,99,10,10,10,10,10,10
24,36327396,0,0,0,0,0,0,0
25,19323781,94,9,9,10,10,9,9
26,37614930,80,8,10,10,8,10,8
27,20007931,89,10,9,10,10,10,9
28,15016855,99,10,9,10,10,10,10
29,22171449,88,9,9,9,9,10,9
30,35987762,100,10,10,10,10,10,10
31,27744532,100,10,10,10,10,10,10
32,19925329,99,10,10,10,10,10,10
33,20080880,95,10,10,10,10,10,9
34,42710739,75,9,8,10,10,10,8
35,32214235,87,9,8,9,9,9,8
36,17044611,80,10,10,8,6,10,10
37,43870523,98,10,10,10,10,10,9
38,315698,94,10,10,10,10,10,10
39,24474346,93,10,9,10,10,10,9
40,14820885,0,0,0,0,0,0,0
41,25069244,98,10,10,10,10,10,10
42,23691939,98,10,10,10,10,10,10
43,42934298,0,0,0,0,0,0,0
44,38348570,93,9,10,9,10,10,9
45,23320930,96,10,10,10,10,10,10
46,28355597,100,10,10,10,10,10,9
47,32519005,100,10,10,10,10,10,10
48,20832716,90,9,9,10,10,10,9
49,14786380,0,0,0,0,0,0,0
50,36145170,94,10,10,9,10,10,9
51,23143645,94,9,10,10,10,10,9
52,43565502,0,0,0,0,0,0,0
53,24345835,98,10,10,10,10,10,9
54,17401645,0,0,0,0,0,0,0
55,45905836,0,0,0,0,0,0,0
56,45429806,0,0,0,0,0,0,0
57,19639031,97,10,10,10,10,9,9
58,9486894,0,0,0,0,0,0,0
59,37791775,0,0,0,0,0,0,0
60,13907675,70,7,4,10,10,10,9
61,40878544,100,10,4,10,10,10,10
62,17512351,0,0,0,0,0,0,0
63,37362641,99,10,10,10,10,10,10
64,11211533,98,10,10,10,10,10,10
65,39882858,0,0,0,0,0,0,0
66,39917184,100,10,10,10,10,10,10
67,3048852,96,10,9,10,10,10,10
68,38929987,0,0,0,0,0,0,0
69,7581366,85,9,9,9,9,9,9
70,8404040,100,10,8,10,10,10,10
71,23261309,0,0,0,0,0,0,0
72,1550394,93,10,9,10,10,10,9
73,37736714,100,10,10,10,10,9,10
74,44679868,100,10,10,10,10,10,10
75,34277908,100,10,8,10,10,10,8
76,24679151,0,0,0,0,0,0,0
77,34034364,99,10,10,10,10,10,10
78,32041497,0,0,0,0,0,0,0
79,14443993,99,10,10,10,10,10,10
80,6991430,98,10,10,10,10,10,10
81,5103919,100,9,10,10,10,10,9
82,33109599,0,0,0,0,0,0,0
83,44070649,98,10,10,10,10,10,10
84,36540397,100,10,10,10,10,10,10
85,32887311,0,0,0,0,0,0,0
86,20583510,95,10,10,9,10,10,9
87,37293917,0,0,0,0,0,0,0
88,27739022,90,10,6,9,10,10,9
89,28240824,91,10,9,10,10,10,9
90,17700516,93,10,10,10,10,10,9
91,40018460,100,10,10,9,10,10,10
92,27559327,100,10,10,10,10,10,10
93,34461635,100,10,9,10,10,9,10
94,34854129,0,0,0,0,0,0,0
95,7546933,84,9,9,10,10,9,8
96,33341098,80,9,9,10,10,10,9
97,8928575,0,0,0,0,0,0,0
98,30528455,0,0,0,0,0,0,0
99,25241682,85,9,10,8,9,8,8
100,31581573,94,9,9,10,10,10,9
101,36698105,100,10,10,10,10,10,10
102,22074333,100,10,10,10,10,10,10
103,26835154,80,9,9,10,9,10,9
104,26330796,86,9,8,9,9,10,8
105,34338272,98,10,10,10,10,10,9
106,30555175,0,0,0,0,0,0,0
107,29073101,100,10,10,10,10,10,10
108,33990450,100,10,10,10,10,10,8
109,6922683,90,10,10,10,10,10,10
110,27417706,90,9,10,10,10,8,9
111,44637652,100,10,10,9,10,9,10
112,32638148,100,10,10,10,10,10,10
113,37906802,100,10,10,10,9,10,9
114,20630404,96,10,9,10,10,10,10
115,21558196,100,10,10,10,10,9,9
116,15270427,98,10,10,10,10,10,10
117,23387578,97,10,10,10,10,10,9
118,32054227,97,10,10,10,10,10,10
119,43184996,100,10,10,10,10,10,9
120,17857327,0,0,0,0,0,0,0
121,23107964,99,10,10,10,10,10,10
122,20369791,94,10,9,10,10,10,9
123,32469518,100,10,10,10,10,10,8
124,20115998,100,10,9,10,10,9,9
125,13406887,0,0,0,0,0,0,0
126,16657391,97,10,10,10,10,10,10
127,22996256,100,10,10,10,10,10,6
128,24435847,93,10,9,10,9,9,9
129,23913578,94,10,10,10,10,10,10
130,3403635,100,10,10,10,10,9,10
131,19741787,100,10,10,10,10,10,10
132,14005777,37,5,4,7,6,8,5
133,19718123,94,9,9,9,10,10,10
134,17418540,99,10,10,10,10,10,10
135,16437324,0,0,0,0,0,0,0
136,16309834,80,8,8,8,8,10,8
137,23281477,91,10,10,9,10,10,9
138,13449542,100,10,10,8,10,10,8
139,13450711,92,10,10,10,10,10,9
140,19290846,99,10,10,10,10,10,10
141,15917752,96,10,10,9,10,10,9
142,44889590,0,0,0,0,0,0,0
143,39265432,100,10,10,10,10,10,8
144,11008133,96,10,10,10,10,10,9
145,22225921,82,9,8,9,9,10,9
146,38722647,100,10,10,10,10,10,10
147,4971945,100,10,10,10,10,10,10
148,27688082,94,10,9,10,10,10,9
149,36335292,0,0,0,0,0,0,0
150,1706795,0,0,0,0,0,0,0
151,45683271,100,10,10,10,10,10,10
152,2372993,97,10,10,10,10,10,10
153,28078766,92,9,8,10,10,9,9
154,38846819,0,0,0,0,0,0,0
155,41757440,0,0,0,0,0,0,0
156,22967131,100,10,10,10,10,10,9
157,31661855,99,10,10,10,10,10,10
158,42802114,97,9,10,10,10,10,10
159,36589636,97,10,10,10,10,10,9
160,13405654,98,10,10,10,10,10,10
161,4257111,97,10,9,10,10,10,9
162,38695108,100,10,9,10,7,10,10
163,6929078,94,10,9,10,10,10,9
164,3511811,93,9,10,10,10,9,9
165,9293644,97,10,10,10,10,10,9
166,38112673,93,10,9,10,10,10,9
167,18404001,98,10,10,10,10,10,10
168,11448467,96,10,10,10,10,10,10
169,13949040,93,9,10,9,10,10,9
170,34766916,92,10,10,10,9,10,9
171,13487856,0,0,0,0,0,0,0
172,22696576,0,0,0,0,0,0,0
173,31335622,0,0,0,0,0,0,0
174,22348374,94,9,10,9,9,10,9
175,21350202,96,10,10,10,10,10,9
176,11255268,96,9,10,10,10,9,9
177,14838168,87,9,9,9,9,10,8
178,40716587,100,10,10,10,10,10,9
