amenityId,amenity
1,Dishwasher
2,Kitchen
3,Carbon monoxide alarm
4,Hangers
5,Indoor fireplace
6,Free street parking
7,Free parking on premises
8,Garden or backyard
9,Essentials
10,Bed linens
11,Hot water
12,Shampoo
13,Oven
14,Iron
15,Cable TV
16,Refrigerator
17,Smoke alarm
18,Single level home
19,Washer
20,Heating
21,TV
22,Dishes and silverware
23,Stove
24,Wifi
25,Breakfast
26,Laptop-friendly workspace
27,Private entrance
28,Lock on bedroom door
29,Fire extinguisher
30,Hair dryer
31,Dryer
32,Cooking basics
33,Microwave
34,Paid parking off premises
35,First aid kit
36,Host greets you
37,Coffee maker
38,Long term stays allowed
39,Pack ’n Play/travel crib
40,Luggage dropoff allowed
41,Lockbox
42,Children’s books and toys
43,High chair
44,Crib
45,Elevator
46,Patio or balcony
47,Stair gates
48,Extra pillows and blankets
49,EV charger
50,Bathtub
51,Window guards
52,Ethernet connection
53,Air conditioning
54,Baking sheet
55,Shower gel
56,Building staff
57,Private living room
58,BBQ grill
59,Room-darkening shades
60,Self check-in
61,Suitable for events
62,Bathroom essentials
63,Bedroom comforts
64,Cleaning before checkout
65,Pool
66,Gym
67,Pocket wifi
68,Paid parking on premises
69,Body soap
70,Conditioner
71,Freezer
72,Beach essentials
73,Ceiling fan
74,Babysitter recommendations
75,Baby bath
76,Portable fans
77,Laundromat nearby
78,Children’s dinnerware
79,Fireplace guards
80,Hot tub
81,Beachfront
82,Lake access
83,Waterfront
84,Keypad
85,Mini fridge
86,Barbecue utensils
87,Game console
88,Smart lock
89,Baby monitor
90,Paid parking lot off premises
91,Wifi – 100 Mbps
92,Bread maker
93,Full kitchen
94,Outlet covers
95,Rice Maker
96,Pour Over Coffee
97,Sound system
98,Table corner guards
99,Tigi shampoo
100,tigi conditioner
101,Piano
102,Changing table
