Country,County,isCapital
Republic of Ireland,Kilkenny,false
Republic of Ireland,Dublin,true
Republic of Ireland,Galway,false
Republic of Ireland,Sligo,false
Republic of Ireland,Cork,false
Republic of Ireland,Waterford,false
Republic of Ireland,Donegal,false
Republic of Ireland,Wicklow,false
Republic of Ireland,Mayo,false
Republic of Ireland,Wexford,false
Republic of Ireland,Westmeath,false
Republic of Ireland,Longford,false
Republic of Ireland,Limerick,false
Republic of Ireland,Laois,false
Republic of Ireland,Carlow,false
Republic of Ireland,Clare,false
Republic of Ireland,Leitrim,false
Republic of Ireland,Tipperary,false
Republic of Ireland,Kerry,false
Republic of Ireland,Louth,false
Republic of Ireland,Kildare,false
Republic of Ireland,Offaly,false
Republic of Ireland,Monaghan,false
Republic of Ireland,Cavan,false
Republic of Ireland,Roscommon,false
Republic of Ireland,Meath,false
