hostId,hostUrl,hostName,hostAbout,hostResponseTime,hostResponseRate,hostAcceptanceRate,hostIsSuperhost,hostPictureUrl,hostSince
55002336,https://www.airbnb.com/users/show/55002336,Donna,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/077825f8-0fed-4222-9df4-1c6fcd9ccb95.jpg?aki_policy=profile_x_medium,2016-01-17
76265474,https://www.airbnb.com/users/show/76265474,Michelle,,within an hour,100,0,false,https://a0.muscache.com/im/pictures/user/0c94d59a-1fa1-4ee0-bd19-90a7c3464a2a.jpg?aki_policy=profile_x_medium,2016-06-07
47699545,https://www.airbnb.com/users/show/47699545,Caio,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/768a51a9-8eeb-483e-9247-275b049ce558.jpg?aki_policy=profile_x_medium,2015-10-29
256401156,https://www.airbnb.com/users/show/256401156,Tasha,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/02df930d-0136-4950-a196-49aed5da2088.jpg?aki_policy=profile_x_medium,2019-04-17
97874998,https://www.airbnb.com/users/show/97874998,Fernando,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/254a20ad-c679-4a6f-8819-5451762e25c2.jpg?aki_policy=profile_x_medium,2016-10-04
32676144,https://www.airbnb.com/users/show/32676144,Len& Mark,"Mark and Len are together over 14 years and have rebuilt their home into a modern, bright space. Both work office hours and definitely work to live..When not working we enjoy time with friends, good wine, as much travel as possible and time with family. I'd suggest we are typical Irish (whatever that is) quite open, friendly, hospitable and always interested in a conversation. Having shared and rented rooms since college, we bought our 5 bedroom period home over 10 years ago. Since then the property has undergone much transformation and is now bright and welcoming plus all bedrooms receiving, double beds and en-suites bathrooms.",N/A,0,0,true,https://a0.muscache.com/im/pictures/user/b8670c9a-44d0-458b-ad09-8ba48f934f8e.jpg?aki_policy=profile_x_medium,2015-05-05
77066693,https://www.airbnb.com/users/show/77066693,Edwina,,within an hour,100,0,false,https://a0.muscache.com/im/pictures/user/e5593f1e-9066-4e11-a5d3-1265779bb208.jpg?aki_policy=profile_x_medium,2016-06-11
790601,https://www.airbnb.com/users/show/790601,Grainne,"I'm Gráinne, originally from Co. Kildare and raised in a small family run hotel. I am married to Tim who is now retired from An Garda Siochána (Irish Police). Tim and I purchased this property in 1986 and lived here for a number of years until our family grew and we needed to relocate. We loved living in this area and have many happy memories of our first home here. I have consistently worked in the hospitality industry and always wanted to provide holiday accommodation here as I felt this to be an ideal location. I have been lucky enough to have realized my dream. I pay particular attention to detail and set the highest of standards in cleanliness and customer care. Our aim is to ensure that you really feel at home and comfortable in our apartment and we will endeavor to assist you in any way with any aspect of your vacation, so that you get the most out of your trip to Dublin. We are at the end of the phone 24 hours a day if you need any assistance. Assuring you of our best attention.",within an hour,100,58,false,https://a0.muscache.com/im/users/790601/profile_pic/1310109344/original.jpg?aki_policy=profile_x_medium,2011-07-07
78889552,https://www.airbnb.com/users/show/78889552,Mary,,N/A,0,0,false,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,2016-06-20
42059994,https://www.airbnb.com/users/show/42059994,Nastasia,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/67b02799-0601-4091-b443-b2b6fbda67f4.jpg?aki_policy=profile_x_medium,2015-08-20
178296610,https://www.airbnb.com/users/show/178296610,Ciara,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/a673e3bc-ce37-491d-9ca7-e63fc5ba67dd.jpg?aki_policy=profile_x_medium,2018-03-13
69239761,https://www.airbnb.com/users/show/69239761,Lumy,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/dc949f0a-dc49-44e2-9878-b92116b778c3.jpg?aki_policy=profile_x_medium,2016-04-27
49084205,https://www.airbnb.com/users/show/49084205,Rory,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/045e128f-d078-4ab2-838d-3755ff00626f.jpg?aki_policy=profile_x_medium,2015-11-15
17981524,https://www.airbnb.com/users/show/17981524,Christina,"Hi There, I am a born and bred Dublin girl, I love Dublin and it's people ""the pure Characters"". I would describe myself as very much a people person, I worked for twenty years in my own city centre Hair-salon, and as everyone knows this is like the heartbeat of the community. It was like being part of a giant real life soap opera, with the customers and staff's stories, some happy, some sad, but a great deal of wisdom was bestowed on me and life long friends were made for which I will be forever grateful for. I am married now to my childhood sweetheart John and have settled down into family life, we have our hands full rearing our children and I sometimes think Mrs Brown's Boys D' Movie has not got a patch on us. As a family we love to travel, Italy in particular and do so as much as possible during the school's holidays.",N/A,0,100,false,https://a0.muscache.com/im/users/17981524/profile_pic/1405200284/original.jpg?aki_policy=profile_x_medium,2014-07-11
11867712,https://www.airbnb.com/users/show/11867712,Dymphna,"I am a retired teacher, mother of three wonderful children who all have their own homes close by. I am very active and very knowledgeable about Dublin's history and places of interest. My home is very close to the city centre, just 10 minutes by bus and also close to the Guinness Storehouse. In my work I enjoyed helping and laughing with students from many different countries. My college had students from 67 different countries.",N/A,0,0,false,https://a0.muscache.com/im/pictures/user/d87a461c-6161-4baf-814e-6ef5bacd6176.jpg?aki_policy=profile_x_medium,2014-02-02
22357985,https://www.airbnb.com/users/show/22357985,Peggy,"Having lived and worked in London, Sydney, New York and Los Angeles and travelled extensively over a span of 10 years, I returned home to Ireland and now live just 3 Blocks from where I was born! That was only a coincidence and I'm still baffled. However, I am very settled and welcome visitors that need a short stay. Sometimes I have bedrooms available but they are frequently booked out so, you may be lucky or you may be on a sofa in my office! There is a dog, a friendly dog..however, he's got a teenage attitude and life is all about him. The dog is NOT allowed in bedrooms or on any furniture.",N/A,0,0,false,https://a0.muscache.com/im/pictures/user/c1d0952c-43c4-4bf9-a9ce-1f0fbdce3862.jpg?aki_policy=profile_x_medium,2014-10-10
132781731,https://www.airbnb.com/users/show/132781731,John,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/df39b080-f32d-4cb5-8f7e-8f477d6d96cc.jpg?aki_policy=profile_x_medium,2017-05-31
37019750,https://www.airbnb.com/users/show/37019750,Sammy,"I am Sammy and I am always pleased to welcome people from all over the world. I have a special interest in travelling and my hobbies include hiking, jogging cycling and reading. I would hope that anybody that stays with me enjoys the apartment and I am always on hand to help",within an hour,100,100,true,https://a0.muscache.com/im/pictures/user/53d20a9c-6456-4e88-b88b-9500b656a101.jpg?aki_policy=profile_x_medium,2015-06-29
112135435,https://www.airbnb.com/users/show/112135435,Mona,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/eb20e5e0-c82a-4d7d-a0e4-f58ce86beafe.jpg?aki_policy=profile_x_medium,2017-01-18
41944081,https://www.airbnb.com/users/show/41944081,Akemi,"I'm Japanese and married Irish guy. We love travelling and seeing local (of course hanging out with locals!). We also like hosting people, often invite our friends at home for dinner or even cup of tea. We are going to have a baby in mid April. So if you want to stay with us, please remember that and we might not be able to accept you in emergency case. Your bedroom is 2nd floor and our bedroom is basement, so it should be fine for the baby crying.",N/A,0,0,false,https://a0.muscache.com/im/users/41944081/profile_pic/1440020367/original.jpg?aki_policy=profile_x_medium,2015-08-19
28581722,https://www.airbnb.com/users/show/28581722,Domenico,,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/8865d9ae-131f-42f5-9f92-18cbbc9d63ea.jpg?aki_policy=profile_x_medium,2015-03-01
124169987,https://www.airbnb.com/users/show/124169987,Pauline,Je serai heureuse de vous accueillir dans mon appartement a paris! J’adore recevoir et rencontrer de nouvelles personnes du monde entier!,N/A,0,0,false,https://a0.muscache.com/im/pictures/user/e0a6c763-bf9c-4531-8987-7c185e8397f7.jpg?aki_policy=profile_x_medium,2017-04-04
130234671,https://www.airbnb.com/users/show/130234671,Michelle,,N/A,0,100,true,https://a0.muscache.com/im/pictures/user/8067603c-9c3e-4e7d-baa2-33c68f34a9d7.jpg?aki_policy=profile_x_medium,2017-05-14
107522669,https://www.airbnb.com/users/show/107522669,Manue,,N/A,0,100,false,https://a0.muscache.com/im/pictures/user/7ceda19d-68b7-48b5-a0d3-2d0d00117b15.jpg?aki_policy=profile_x_medium,2016-12-17
133916559,https://www.airbnb.com/users/show/133916559,Ronan,"Secondary school business teacher in training. Love ,cooking , cycling, rockclimbing, music and new experiences. Exhilarated by new projects. Mindfulness and yoga becoming an increasingly integral part of my life. Have been hosting on airbnb for a year now and it's really been a wonderful experience, sharing our home with travellers of the world. Broadening horizons and even just relaxing or having fun together.",within a day,100,89,false,https://a0.muscache.com/im/pictures/user/1b325833-4b0b-4413-845a-8baaaf565391.jpg?aki_policy=profile_x_medium,2017-06-07
