accommodationId,propertyTypeId,propertyType
18349413,1,Entire cottage
45718304,2,Private room in bed and breakfast
30504069,3,Entire apartment
33955620,4,Entire house
16992991,5,Private room in house
45653419,6,Entire loft
14624814,7,Private room in apartment
20780307,8,Private room in condominium
36327396,9,Entire townhouse
19323781,10,Private room in townhouse
37614930,11,Room in boutique hotel
27744532,12,Private room in bungalow
42710739,13,Private room in hostel
43565502,14,Entire serviced apartment
45905836,15,Room in hotel
9486894,16,Shared room in house
37362641,17,Entire guesthouse
24679151,18,Private room in cabin
14443993,19,Entire guest suite
31581573,20,Entire condominium
32054227,21,Private room in cottage
3403635,22,Private room in guest suite
38695108,23,Room in hostel
38112673,24,Room in bed and breakfast
18404001,25,Tiny house
11255268,26,Private room in yurt
19465304,27,Entire cabin
35439735,28,Room in serviced apartment
39722343,29,Private room in guesthouse
11505432,30,Entire chalet
36939846,31,Camper/RV
31972391,32,Shepherd's hut
16014387,33,Shared room in apartment
14645775,34,Private room in floor
27136925,35,Island
14898821,36,Entire place
36797053,37,Private room in serviced apartment
45652930,38,Entire bungalow
18109464,39,Private room
34573629,40,Private room in farm stay
8280755,41,Shared room
7090693,42,Shared room in bed and breakfast
15250887,43,Farm stay
18093201,44,Train
44458772,45,Yurt
