AccommodationId,ReviewDate,ReviewId,ReviewerName,Comments
43881314,2020-07-27,1,255984230,Michelle,"Great hosts, great location, great chalet, great weekend."
43881314,2020-08-03,2,187536638,Eimear,"We thoroughly enjoyed our stay in Westport - the chalet was in a perfect location for us and the facilities were ideal. On a busy bank holiday weekend the area was full of fellow tourists and when we struggled to get a restaurant booking we got takeaway pizza in a place recommended by Darren, sat in front of our turf fire and opened a bottle of wine! On arrival Darren called the local pub and not only got us a last minute table but also dropped us down.The icing on the cake for me was my souvenir turf to recreate once back in Dublin!! "
43881314,2020-08-07,3,25298057,Ann,We had a great stay at Darren and Aoife’s - a great launchpad for cycling and walking the beautiful area.
43881314,2020-08-19,4,31196919,Emma,"Can’t recommend staying here enough! It’s the perfect base in a great location.. short walk to the harbour and a quick drive to Westport town. Beaches, surfing, restaurants all on your doorstep!Darren & Aoife were awesome hosts for the week.. so many tips on where to go, things to do, where to eat & drink. The chalet was spotless (we’re kinda nervous with everything going on right now), and we felt safe & at home straight away.We had an absolute ball from start to finish!"
43881314,2020-08-23,5,187088823,Justin,Lovely place a short (and very nice) walk from the Quays. Fireplace and board games have the place a really cozy feeling.
43830785,2020-09-19,6,365758837,Suzanne,"My partner & I, along with our fur baby Jess, have just returned from a wonderful week staying in Cates Farmhouse. Cate is so warm and welcoming and gave us a lovely welcoming basket of little treats. Her home is cosy and comfortable and has everything you need for a self catering holiday. It's a beautiful, peaceful, location with all the amenities you need just a short drive away. We will definitely be booking the big green farmhouse again."
8005634,2015-12-16,7,18313302,Benjamin,The host canceled this reservation 88 days before arrival. This is an automated posting.
8005634,2016-01-02,8,44746177,Eris,"Had an awesome stay in Dublin thanks to our great host! Bart was more than welcoming and went out of his way to show us the best of Dublin for New Year's Eve. The description of the room is accurate, very comfortable, and in a great location. Highly recommend! "
8005634,2016-01-23,9,49104106,Louis,"Bartosz est vraiment un hôte génial. Il m'a très bien accueilli. Il m'a permit d'être directement à l'aise dans un endroit nouveau pour moi. L'appartement est très bien situé dans le centre ville. L'appartement en lui même est comme sur les photos. La chambre est spacieuse et une commode ainsi qu'une penderie sont mises à disposition. Elle est très bien agencée et très confortableBartosz m'a également aidé dans ma recherche d'emploi, ce que ne font pas tous les hôtes.Recommande très fortement"
8005634,2016-02-21,10,54306084,Sébastien,"Bartosz was for me the perfect host, he was kind, friendly and tidy ! The room is very large and fully equiped, everything you can need is available ! And the location of the flat is perfect, and the place is quiet although it is just 50 meters from O'Connel street ! I really recommand this room because you can't find a better one for that price ! And the polish hospitality worths it !"
8005634,2016-03-08,11,24415177,Michelle,"Words fail to describe how kind-hearted, genuine, engaging, charismatic and phenomenal Bart is. He went above and beyond my expectations, making my stay a pleasant one. His flat is conveniently  located by the spire and accessible to the city at large. The bed was comfy and the comforter, warm. The flat itself is compact yet it meets the needs of any traveler. A bathroom and access to the kitchen. Wifi and towels available. I thoroughly recommend staying with Bart. He is also helpful in suggesting sights to see and things to do while in town."
8005634,2016-03-13,12,50216401,Bonnie,"Unfortunately, we were notified a couple weeks prior to our arrival that repairs were being done on the apartment the weekend we had booked. However, BK contacted us and let us know that he had already booked us alternative accommodations that was more centrally. He also bought us a voucher for dinner and tour bus tickets for the inconvenience. So while I can't say much about the actual aparment, BK was great about responding to my questions and giving us instructions on how to get from the airport to city center."
8005634,2016-03-26,13,33766253,Jesús,"We were at Bartek’s home in Dublin several days. He greeted us and tried at all times we were comfortable and we did not lack anything. We had drinks ready on arrival and when we checked out of escursion prepared sandwiches for the road. The room was spacious, comfortable and quiet. We could have the kitchen to our liking. At all times he was concerned that we not missing anything. The apartment is perfectly located just minutes from downtown, walking. If the bathroom and kitchen were a little more modern, it would be a totally perfect apartment. Thank you very much for everything, Bartek."
8005634,2016-04-04,14,20667027,Guillermo,"Wow...where can I start. All was positive. Bart is one of the kindest people I've ever met. Very helpful and communicative. He provided us great company, food (yes, food!), and a pleasant stay. You won't go wrong staying at Bart's flat. It's centrally located, close to everything, and in a very nice & quiet area. "
8005634,2016-04-11,15,59958658,Easton,"Great location for folks looking to see and enjoy Dublin. Right off of O'Connell Street near bus tours, pubs, restaurants and everything you would need to enjoy your stay. Bart, our host, was excellent - made us feel welcome, gave us tips to enjoy the city and even bought us a Guinness for a true welcome to Ireland! Highly recommend staying here!"
